//Crawler is now amphibious (foot+naval)																																																																										
//														Combat																				Costs			Resources Required to Build													Build Needs					Tech Requirements																			
//	Name			Nickname		Move Type	Kind	Move	Spot	Camo	Agility	Armor	PsyDef	Water		Indirect		Air		Direct		Close		Psy		RangedSp		DirectSp		CloseSp		Cargo	CanBCargo	Unit Function	Crd/Trn	Cred	Food	Energy	Metal	Trace	Exotica	Chemicals	Biochems	Electronics	Ceramsteel	Wetware	Monopols	Gems	Singularities	Unit	tLvl	Bldgs	Owner	Turns	0	1	2	3	4	5	6	7	8	9	Tax	Flock	Range	Eat	Rank	RoP	Disband			
{0																																																																										
"name"	"Symbiot Grappler"	"1"	"abbrev"	"Grappler"	"stats"	"gate	0	3	5	6	4	100	60	0	0	0	0	13	20	0	0	15	50	0	0	0	0	0	0	13	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	7	7	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1"	"art"	"grap.jpeg"	"efsunit.bin"
}	 	 	 	 	 	 																																																																	 	 	 	 
{1	 	 	 	 	 	 																																																																	 	 	 	 
"name"	"Symbiot Blow Ship"	"1"	"abbrev"	"Blow Ship"	"stats"	"gate	1	3	7	6	2	150	60	0	0	0	0	12	20	9	20	12	20	0	0	5	130	7	130	9	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	7	7	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1"	"art"	"puff2.jpeg"	"efsunit.bin"
}	 	 	 	 	 	 																																																																	 	 	 	 
{2	 	 	 	 	 	 																																																																	 	 	 	 
"name"	"Symbiot Spore Ship"	"1"	"abbrev"	"Spore"	"stats"	"gate	2	3	5	6	3	130	60	0	0	0	0	12	20	19	20	15	20	0	0	0	0	9	40	11	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	7	7	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	1"	"art"	"pdshp.jpeg"	"efsunit.bin"
}	 	 	 	 	 	 																																																																	 	 	 	 
{3	 	 	 	 	 	 																																																																	 	 	 	 
"name"	"Symbiot Pod Ship"	"1"	"abbrev"	"Pod Ship"	"stats"	"lander	16	3	1	6	3	80	60	0	0	0	0	12	20	0	0	10	20	0	0	0	0	0	0	10	30	4	0	16400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	7	7	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	1	1"	"art"	"sprshp.jpeg"	"efsunit.bin"
}	 	 	 	 	 	 																																																																	 	 	 	 
{4	 	 	 	 	 	 																																																																	 	 	 	 
"name"	"Vau Dreadnought"	"1"	"abbrev"	"Shroud Weaver"	"stats"	"gate	12	3	8	1	6	300	100	0	0	0	0	14	20	12	15	10	40	0	0	12	400	10	270	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	-1	-1	10	8	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	1"	"art"	"vau_dread.jpeg"	"efsunit.bin"
}	 	 	 	 	 	 																																																																	 	 	 	 
{5	 	 	 	 	 	 																																																																	 	 	 	 
"name"	"Vau Cruiser"	"1"	"abbrev"	"Veil Seeker"	"stats"	"gate	13	3	6	2	10	160	100	0	0	0	0	16	20	14	15	12	40	0	0	10	220	11	160	12	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	-1	-1	10	8	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	1"	"art"	"vau_cruiser.jpeg"	"efsunit.bin"
}	 	 	 	 	 	 																																																																	 	 	 	 
{6	 	 	 	 	 	 																																																																	 	 	 	 
"name"	"Vau Destroyer"	"1"	"abbrev"	"Destroyer"	"stats"	"gate	14	3	9	3	12	110	100	0	0	0	0	18	15	16	20	14	40	0	0	13	150	14	110	15	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	10	8	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1"	"art"	"vau_destroyer.jpeg"	"efsunit.bin"
}	 	 	 	 	 	 																																																																	 	 	 	 
{7	 	 	 	 	 	 																																																																	 	 	 	 
"name"	"Vau Frigate"	"1"	"abbrev"	"Quick Mercy"	"stats"	"gate	15	3	7	4	13	70	100	0	0	0	0	20	15	18	20	15	40	0	0	0	0	19	40	21	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	10	8	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1"	"art"	"vau_frigate.jpeg"	"efsunit.bin"
}	 	 	 	 	 	 																																																																	 	 	 	 
{8	 	 	 	 	 	 																																																																	 	 	 	 
"name"	"Vau Interceptor"	"1"	"abbrev"	"Deathmate"	"stats"	"gate	17	3	5	5	16	20	100	0	0	0	0	12	5	23	45	12	5	0	0	0	0	21	50	23	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	10	8	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1"	"art"	"vau_intrceptor.jpeg"	"efsunit.bin"
}	 	 	 	 	 	 																																																																	 	 	 	 
{9	 	 	 	 	 	 																																																																	 	 	 	 
"name"	"Vau Carrier"	"1"	"abbrev"	"Carrier"	"stats"	"lander	16	3	6	1	7	160	100	0	0	6	30	17	15	15	5	8	40	0	0	14	20	12	20	0	0	4	0	16400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	10	8	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	1	1"	"art"	"vau_carrier.jpeg"	"efsunit.bin"
}	 	 	 	 	 	 																																																																	 	 	 	 
{10	 	 	 	 	 	 																																																																	 	 	 	 
"name"	"Vau Transport"	"1"	"abbrev"	"Transport"	"stats"	"lander	21	3	3	2	4	70	100	0	0	10	30	8	10	0	0	0	0	0	0	0	0	15	20	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	10	8	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	1	1"	"art"	"vau_transport.jpeg"	"efsunit.bin"
"name"	"Obun Diplomatic Vessel"	"1"	"abbrev"	"Tranquillity"	"stats"	"lander	21	3	3	2	4	70	100	0	0	10	30	8	10	0	0	0	0	0	0	0	0	15	20	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	13	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	1	1"	"art"	"otrans.jpeg"	"same"
}	 	 	 	 	 	 																																																																	 	 	 	 
