// Well harvesting information
//
// (see farm.dat for the rules)
//
{ "ocean"
   "normal"     "energy" "2" "@"
   "city"       "energy" "0" "@"
   "ice"        "energy" "1" "@"
   "jungle"     "energy" "2" "@"
   "barren"     "energy" "2" "@"
}
{ "grass"
   "normal"     "energy" "0" "@"
   "city"       "energy" "0" "@"
   "ice"        "energy" "0" "@"
   "jungle"     "energy" "0" "@"
   "barren"     "energy" "0" "@"
}
{ "arid grass"
   "normal"     "energy" "0" "@"
   "city"       "energy" "0" "@"
   "ice"        "energy" "0" "@"
   "jungle"     "energy" "0" "@"
   "barren"     "energy" "0" "@"
}
{ "desert"  
   "normal"     "energy" "3" "@"
   "city"       "energy" "0" "@"
   "ice"        "energy" "0" "@"
   "jungle"     "energy" "2" "@"
   "barren"     "energy" "2" "@"
}
{ "ice"
   "normal"     "energy" "2" "@"
   "city"       "energy" "0" "@"
   "ice"        "energy" "0" "@"
   "jungle"     "energy" "2" "@"
   "barren"     "energy" "2" "@"
}
{ "tundra"
   "normal"     "energy" "2" "@"
   "city"       "energy" "0" "@"
   "ice"        "energy" "0" "@"
   "jungle"     "energy" "2" "@"
   "barren"     "energy" "2" "@"
}
{ "mountain"
   "normal"     "energy" "0" "@"
   "city"       "energy" "0" "@"
   "ice"        "energy" "0" "@"
   "jungle"     "energy" "0" "@"
   "barren"     "energy" "0" "@"
}
{ "hill"
   "normal"     "energy" "0" "@"
   "city"       "energy" "0" "@"
   "ice"        "energy" "0" "@"
   "jungle"     "energy" "0" "@"
   "barren"     "energy" "0" "@"
}
{ "tree"
   "normal"     "energy" "2" "@"
   "city"       "energy" "0" "@"
   "ice"        "energy" "2" "@"
   "jungle"     "energy" "2" "@"
   "barren"     "energy" "2" "@"
}
{ "river"
   "normal"     "energy" "2" "@"
   "city"       "energy" "2" "@"
   "ice"        "energy" "2" "@"
   "jungle"     "energy" "2" "@"
   "barren"     "energy" "2" "@"
}
{ "delta"
   "normal"     "energy" "3" "@"
   "city"       "energy" "2" "@"
   "ice"        "energy" "2" "@"
   "jungle"     "energy" "4" "@"
   "barren"     "energy" "2" "@"
}
